ID	adj.P.Val	P.Value	t	B	logFC	RANGE_GB	RANGE_START	RANGE_END	RANGE_STRAND	GB_ACC	ORF
cg04786857	4.66e-43	1.69e-47	24.0291	97.694487	0.55799969	NC_000002.10	28886410	28888374	+	NM_001008779.1	245711
cg05023540	4.84e-38	3.52e-42	-21.170358	85.560215	-0.25837657	NC_000014.7	95186566	95187015	+	NM_014418.2	27004
cg09120035	1.07e-35	1.17e-39	-19.889498	79.794685	-0.47138834					NM_000497.3	1584
cg11377136	1.42e-35	2.07e-39	19.766093	79.228149	0.44466379	NC_000022.9	45036485	45038116	-	NM_006071.1	10343
cg15747595	2.74e-35	4.98e-39	19.576821	78.355432	0.35842618	NC_000008.9	98358472	98359735	-	NM_033512.2	85453
cg00949442	2.96e-35	6.46e-39	19.520752	78.096015	0.50824256	NC_000016.8	2329513	2332346	-	NM_001089.1	21
cg24432073	5.09e-35	1.29e-38	19.372049	77.406056	0.56002964	NC_000004.10	76774245	76775285	-	NM_003948.2	8999
cg04809136	2.90e-34	8.42e-38	18.973949	75.544905	0.5285881	NC_000002.10	24152341	24153979	-	NM_016047.3	51639
cg05684891	7.85e-34	2.57e-37	18.738941	74.436637	0.47853081	NC_000009.10	123500662	123502056	+	NT_008470.18	153090
cg21790626	8.27e-34	3.01e-37	18.705888	74.28019	0.57612456	NC_000019.8	62911404	62912681	-	NM_003444.1	7710
cg09099744	1.30e-33	5.19e-37	18.591534	73.737848	0.59590733	NC_000009.10	21958106	21958899	-	NT_008413.17	1029
cg25856811	2.05e-33	8.92e-37	-18.478116	73.198285	-0.35331575					NM_005416.1	6707
cg05767404	6.82e-33	3.22e-36	-18.211075	71.921343	-0.22562428					NM_145278.1	148823
cg00891278	7.21e-33	3.67e-36	18.184067	71.791684	0.40419151	NC_000003.10	127595793	127596808	+	NM_182628.1	348807
cg25119415	8.75e-33	4.77e-36	-18.12997	71.531697	-0.27212864					NM_002432.1	4332
cg04962134	1.33e-32	7.75e-36	-18.029652	71.04858	-0.34653363					NM_032681.1	84767
cg12680609	2.03e-32	1.26e-35	17.930404	70.569351	0.50268993	NC_000008.9	144399366	144401373	+	NM_173832.3	286128
cg08886154	2.50e-32	1.75e-35	-17.862141	70.238997	-0.27994388					NM_006193.1	5078
